date,time,ticker,exp,strike,cp,entry,proceeds,ratio,blended_ret_pct,nsells,dte,roll_depth,category,tags
2024-11-05,14:38,TSLA,,257.5,C,5.3,9.15,1.726,72.6,1,,0,initial,ROLL
2024-11-05,14:50,COIN,11-08,200,C,7.45,26,3.49,249,1,3,0,lotto,LOTTO;CAT
2024-11-06,14:35,TSLA,,295,C,5,5.4,1.08,8,1,,1,roll1,ROLL
2024-11-06,14:36,NVDA,,145,C,1.69,2.7,1.598,59.8,2,,0,initial,ROLL
2024-11-06,15:09,AMZN,11-29,205,C,3.8,6.63,1.743,74.3,2,23,0,initial,
2024-11-06,15:42,COIN,,240,C,4.5,9.75,2.167,116.7,2,,1,roll1,ROLL
2024-11-06,18:04,COIN,,255,C,5.3,7.73,1.458,45.8,2,,2,roll2,
2024-11-07,14:32,META,,585,C,4.4,7.35,1.67,67,2,,0,initial,
2024-11-07,14:34,NVDA,11-15,149,C,2.6,2.82,1.085,8.5,1,8,1,roll1,ROLL
2024-11-07,14:38,AMZN,11-29,215,C,2.72,2,0.735,-26.5,1,22,1,roll1,ROLL
2024-11-07,15:25,TSLA,,300,C,3.05,2.23,0.73,-27,1,,2,roll2,
2024-11-07,16:31,QQQ,11-13,515,C,2.92,0,0,-100,0,6,0,lotto,LOTTO;CAT
2024-11-07,16:38,META,,595,C,3,0,0,-100,0,,1,roll1,ROLL
2024-11-07,17:46,MSTR,,280,C,5.1,3.7,0.725,-27.5,1,,0,initial,
2024-11-07,17:46,MSTR,,280,C,5.1,0,0,-100,0,,1,roll1,
2024-11-19,16:31,NFLX,11-22,870,C,5.55,9.8,1.766,76.6,1,3,0,initial,ROLL
2024-11-19,18:42,NFLX,11-22,880,C,5.45,10.6,1.945,94.5,1,3,1,roll1,ROLL
2024-11-20,14:31,COIN,11-22,350,C,9,0,0,-100,0,2,0,initial,
2024-11-20,14:33,NFLX,,890,C,7.25,8.5,1.172,17.2,2,,1,roll1,ROLL
2024-11-20,15:33,MSTR,11-22,590,C,9.3,10,1.075,7.5,1,2,0,lotto,LOTTO
2024-11-20,16:55,META,11-22,570,C,3.85,3.85,1,0,2,2,0,initial,ROLL
2024-11-21,14:45,QQQ,11-22,503,C,2.75,3.78,1.373,37.3,2,1,0,lotto,LOTTO
2024-11-21,14:51,TSLA,11-22,350,C,5.1,5.3,1.039,3.9,1,1,0,initial,
2024-11-21,15:18,NFLX,11-22,900,C,4.1,5.2,1.268,26.8,1,1,1,roll1,ROLL
2024-11-21,16:30,SPX,11-22,5970,C,8.8,11.35,1.29,29,2,1,0,lotto,LOTTO
2024-11-22,14:40,SPX,11-22,5980,C,5.8,7.35,1.267,26.7,2,0,0,lotto,LOTTO
2024-11-22,15:50,TSLA,11-22,355,C,2.45,3.5,1.429,42.9,1,0,1,lotto,LOTTO
2024-11-22,16:06,TSLA,,357.5,C,2.95,4.4,1.492,49.2,1,,1,roll1,ROLL
2024-11-22,17:46,MSTR,11-22,450,C,7.3,9.83,1.347,34.7,2,0,1,lotto,LOTTO
2024-11-25,14:40,QQQ,11-27,512,C,2.19,0,0,-100,0,2,0,initial,
2024-11-25,14:44,META,11-29,572.5,C,4.15,5.2,1.253,25.3,2,4,0,initial,
2024-11-25,15:19,SNOW,11-29,180,C,2.4,0,0,-100,0,4,0,initial,
2024-11-25,15:25,COIN,11-29,320,C,6.9,8.93,1.293,29.3,2,4,0,lotto,LOTTO
2024-11-26,14:51,META,11-22,575,C,3.4,0,0,-100,0,361,0,lotto,LOTTO
2024-11-26,16:00,META,11-29,580,C,3.4,6,1.765,76.5,1,3,1,roll1,ROLL
2024-11-27,14:38,MSTR,11-29,420,C,7.5,0,0,-100,0,2,0,lotto,LOTTO
2024-11-27,14:47,SPX,11-27,6030,C,4.6,0,0,-100,0,0,0,lotto,LOTTO;0DTE
2024-12-02,14:32,TSLA,12-06,365,C,6.5,7,1.077,7.7,1,4,0,initial,
2024-12-02,14:35,META,12-06,590,C,5.2,7.85,1.51,51,3,4,0,initial,
2024-12-02,14:48,QQQ,12-06,515,C,3,3.67,1.223,22.3,2,4,0,initial,
2024-12-02,15:15,META,12-06,600,C,3.9,6.13,1.571,57.1,2,4,1,roll1,ROLL
2024-12-03,14:47,COIN,12-06,320,C,6.1,7.5,1.23,23,2,3,0,lotto,LOTTO
2024-12-03,15:06,META,12-06,605,C,4.7,8.59,1.827,82.7,3,3,1,roll1,ROLL
2024-12-03,16:06,META,12-06,615,C,4.4,7.1,1.614,61.4,2,3,2,roll2,ROLL
2024-12-03,16:26,QQQ,12-06,517,C,2.65,5.15,1.943,94.3,1,3,0,initial,
2024-12-04,14:33,NVDA,12-13,144,C,2.37,1.68,0.707,-29.3,2,9,0,initial,
2024-12-04,14:36,META,12-06,620,C,5.2,4.57,0.88,-12,2,2,3,roll3+,ROLL
2024-12-04,14:50,QQQ,12-06,522,C,2.12,2.85,1.344,34.4,2,2,1,roll1,ROLL
2024-12-04,19:05,NVDA,12-13,147,C,2.21,3.3,1.493,49.3,1,9,1,roll1,ROLL
2024-12-04,19:49,COIN,12-13,350,C,8.8,14,1.591,59.1,1,9,0,lotto,LOTTO
2024-12-05,14:31,TSLA,12-13,375,C,7.7,11.38,1.477,47.7,2,8,1,roll1,
2024-12-05,14:35,COIN,12-13,380,C,9.4,0,0,-100,0,8,1,roll1,ROLL
2024-12-05,15:02,SPX,12-05,6100,C,3,0,0,-100,0,0,0,lotto,LOTTO;0DTE
2024-12-05,17:03,MSFT,12-13,445,C,3.5,5.05,1.443,44.3,2,8,0,initial,
2024-12-06,14:34,TSLA,12-13,390,C,6.2,16.3,2.629,162.9,1,7,1,roll1,ROLL
2024-12-06,14:46,QQQ,12-06,525,C,0.8,1.17,1.469,46.9,2,0,0,lotto,LOTTO
2024-12-06,14:55,META,12-06,620,C,2.55,0,0,-100,0,0,4,lotto,LOTTO
2024-12-06,15:17,QQQ,12-06,526,C,0.8,0,0,-100,0,0,1,roll1,ROLL
2024-12-06,15:20,META,12-06,625,C,2.8,4.65,1.661,66.1,2,0,5,roll3+,ROLL
2024-12-06,16:34,META,12-06,630,C,2.2,0,0,-100,0,0,6,roll3+,ROLL
2024-12-06,17:44,COIN,12-13,350,C,3.75,0,0,-100,0,7,2,lotto,LOTTO;0DTE
2024-12-09,14:33,TSLA,12-13,410,C,8.1,8.2,1.012,1.2,1,4,0,initial,
2024-12-09,15:18,MSFT,12-13,447.5,C,2.95,3.26,1.106,10.6,2,4,0,initial,
2024-12-09,16:32,MSFT,12-13,450,C,3.25,3.7,1.138,13.8,2,4,1,roll1,ROLL
2024-12-10,14:43,META,12-13,630,C,5.2,6.9,1.327,32.7,1,3,0,lotto,LOTTO;CAT
2024-12-11,14:36,META,12-13,635,C,4.7,7.55,1.606,60.6,2,2,1,roll1,ROLL
